State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
CA,Serious complications,PSI_90_SAFETY,10,277,6,Not Available,,10/1/2015,6/30/2017
CA,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,286,0,1,,10/1/2015,6/30/2017
CO,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,48,2,10,,4/1/2014,3/31/2017
CO,Death rate for heart attack patients,MORT_30_AMI,0,34,0,36,,7/1/2014,6/30/2017
CO,Death rate for CABG surgery patients,MORT_30_CABG,1,14,0,0,,7/1/2014,6/30/2017
CO,Death rate for COPD patients,MORT_30_COPD,3,48,0,22,,7/1/2014,6/30/2017
CO,Death rate for heart failure patients,MORT_30_HF,0,54,0,23,,7/1/2014,6/30/2017
CO,Death rate for pneumonia patients,MORT_30_PN,0,66,2,10,,7/1/2014,6/30/2017
CO,Death rate for stroke patients,MORT_30_STK,0,36,0,37,,7/1/2014,6/30/2017
CO,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,45,0,0,,10/1/2015,6/30/2017
CO,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,7,37,1,0,,10/1/2015,6/30/2017
CO,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,1,43,1,0,,10/1/2015,6/30/2017
CO,Blood stream infection after surgery,PSI_13_POST_SEPSIS,0,44,1,0,,10/1/2015,6/30/2017
CO,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,2,39,0,3,,10/1/2015,6/30/2017
CO,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1,41,0,3,,10/1/2015,6/30/2017
CO,Pressure sores,PSI_3_ULCER,1,44,0,0,,10/1/2015,6/30/2017
CO,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,0,27,0,16,,10/1/2015,6/30/2017
CO,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,45,0,1,,10/1/2015,6/30/2017
CO,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,45,0,1,,10/1/2015,6/30/2017
CO,Serious complications,PSI_90_SAFETY,4,38,4,Not Available,,10/1/2015,6/30/2017
CO,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,45,0,0,,10/1/2015,6/30/2017
CT,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,4,20,1,2,,4/1/2014,3/31/2017
CT,Death rate for heart attack patients,MORT_30_AMI,0,26,0,4,,7/1/2014,6/30/2017
CT,Death rate for CABG surgery patients,MORT_30_CABG,0,10,0,0,,7/1/2014,6/30/2017
CT,Death rate for COPD patients,MORT_30_COPD,1,24,3,2,,7/1/2014,6/30/2017
CT,Death rate for heart failure patients,MORT_30_HF,0,27,2,2,,7/1/2014,6/30/2017
CT,Death rate for pneumonia patients,MORT_30_PN,0,27,3,1,,7/1/2014,6/30/2017
CT,Death rate for stroke patients,MORT_30_STK,1,25,0,4,,7/1/2014,6/30/2017
CT,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,26,0,1,,10/1/2015,6/30/2017
CT,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,1,25,0,1,,10/1/2015,6/30/2017
CT,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,1,26,0,0,,10/1/2015,6/30/2017
CT,Blood stream infection after surgery,PSI_13_POST_SEPSIS,0,26,0,1,,10/1/2015,6/30/2017
CT,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,27,0,0,,10/1/2015,6/30/2017
CT,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0,27,0,0,,10/1/2015,6/30/2017
CT,Pressure sores,PSI_3_ULCER,7,22,0,1,,10/1/2015,6/30/2017
CT,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,1,18,0,7,,10/1/2015,6/30/2017
CT,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,29,0,1,,10/1/2015,6/30/2017
CT,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,29,0,1,,10/1/2015,6/30/2017
CT,Serious complications,PSI_90_SAFETY,5,25,0,Not Available,,10/1/2015,6/30/2017
CT,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,26,0,0,,10/1/2015,6/30/2017
DC,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,5,0,2,,4/1/2014,3/31/2017
DC,Death rate for heart attack patients,MORT_30_AMI,0,8,0,0,,7/1/2014,6/30/2017
DC,Death rate for CABG surgery patients,MORT_30_CABG,0,1,1,1,,7/1/2014,6/30/2017
DC,Death rate for COPD patients,MORT_30_COPD,0,7,0,0,,7/1/2014,6/30/2017
DC,Death rate for heart failure patients,MORT_30_HF,0,6,2,0,,7/1/2014,6/30/2017
DC,Death rate for pneumonia patients,MORT_30_PN,0,7,1,0,,7/1/2014,6/30/2017
DC,Death rate for stroke patients,MORT_30_STK,0,7,0,0,,7/1/2014,6/30/2017
DC,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,6,0,1,,10/1/2015,6/30/2017
DC,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,1,5,0,1,,10/1/2015,6/30/2017
DC,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,2,5,0,0,,10/1/2015,6/30/2017
DC,Blood stream infection after surgery,PSI_13_POST_SEPSIS,0,6,0,1,,10/1/2015,6/30/2017
DC,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,7,0,0,,10/1/2015,6/30/2017
DC,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1,6,0,0,,10/1/2015,6/30/2017
DC,Pressure sores,PSI_3_ULCER,2,5,0,0,,10/1/2015,6/30/2017
DC,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,0,5,0,2,,10/1/2015,6/30/2017
DC,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,7,0,0,,10/1/2015,6/30/2017
DC,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,7,0,0,,10/1/2015,6/30/2017
DC,Serious complications,PSI_90_SAFETY,2,5,0,Not Available,,10/1/2015,6/30/2017
DC,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,6,0,0,,10/1/2015,6/30/2017
DE,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,4,2,0,,4/1/2014,3/31/2017
DE,Death rate for heart attack patients,MORT_30_AMI,0,6,0,1,,7/1/2014,6/30/2017
DE,Death rate for CABG surgery patients,MORT_30_CABG,0,3,0,0,,7/1/2014,6/30/2017
DE,Death rate for COPD patients,MORT_30_COPD,0,6,0,0,,7/1/2014,6/30/2017
DE,Death rate for heart failure patients,MORT_30_HF,0,6,1,0,,7/1/2014,6/30/2017
DE,Death rate for pneumonia patients,MORT_30_PN,0,6,1,0,,7/1/2014,6/30/2017
DE,Death rate for stroke patients,MORT_30_STK,0,5,1,0,,7/1/2014,6/30/2017
DE,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,6,0,0,,10/1/2015,6/30/2017
DE,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,1,4,1,0,,10/1/2015,6/30/2017
DE,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,0,6,0,0,,10/1/2015,6/30/2017
DE,Blood stream infection after surgery,PSI_13_POST_SEPSIS,0,5,1,0,,10/1/2015,6/30/2017
DE,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,6,0,0,,10/1/2015,6/30/2017
DE,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0,6,0,0,,10/1/2015,6/30/2017
DE,Pressure sores,PSI_3_ULCER,1,5,0,0,,10/1/2015,6/30/2017
DE,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,0,5,0,1,,10/1/2015,6/30/2017
DE,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,6,0,0,,10/1/2015,6/30/2017
DE,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,6,0,0,,10/1/2015,6/30/2017
DE,Serious complications,PSI_90_SAFETY,1,5,0,Not Available,,10/1/2015,6/30/2017
DE,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,6,0,0,,10/1/2015,6/30/2017
FL,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,137,7,22,,4/1/2014,3/31/2017
FL,Death rate for heart attack patients,MORT_30_AMI,1,155,3,26,,7/1/2014,6/30/2017
FL,Death rate for CABG surgery patients,MORT_30_CABG,1,70,0,4,,7/1/2014,6/30/2017
FL,Death rate for COPD patients,MORT_30_COPD,11,154,10,9,,7/1/2014,6/30/2017
FL,Death rate for heart failure patients,MORT_30_HF,11,157,13,9,,7/1/2014,6/30/2017
FL,Death rate for pneumonia patients,MORT_30_PN,21,146,20,5,,7/1/2014,6/30/2017
FL,Death rate for stroke patients,MORT_30_STK,5,142,2,32,,7/1/2014,6/30/2017
FL,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,5,145,2,7,,10/1/2015,6/30/2017
FL,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,13,139,0,7,,10/1/2015,6/30/2017
FL,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,6,151,3,3,,10/1/2015,6/30/2017
FL,Blood stream infection after surgery,PSI_13_POST_SEPSIS,8,141,3,7,,10/1/2015,6/30/2017
FL,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,1,157,0,4,,10/1/2015,6/30/2017
FL,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,3,157,1,3,,10/1/2015,6/30/2017
FL,Pressure sores,PSI_3_ULCER,9,152,5,0,,10/1/2015,6/30/2017
FL,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,2,109,6,42,,10/1/2015,6/30/2017
FL,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,1,165,0,0,,10/1/2015,6/30/2017
FL,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,166,0,0,,10/1/2015,6/30/2017
FL,Serious complications,PSI_90_SAFETY,9,152,5,Not Available,,10/1/2015,6/30/2017
FL,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2,157,1,3,,10/1/2015,6/30/2017
GA,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,71,1,19,,4/1/2014,3/31/2017
GA,Death rate for heart attack patients,MORT_30_AMI,1,67,0,50,,7/1/2014,6/30/2017
GA,Death rate for CABG surgery patients,MORT_30_CABG,0,18,0,5,,7/1/2014,6/30/2017
GA,Death rate for COPD patients,MORT_30_COPD,3,103,0,25,,7/1/2014,6/30/2017
GA,Death rate for heart failure patients,MORT_30_HF,4,93,5,32,,7/1/2014,6/30/2017
GA,Death rate for pneumonia patients,MORT_30_PN,8,113,0,14,,7/1/2014,6/30/2017
GA,Death rate for stroke patients,MORT_30_STK,3,73,0,45,,7/1/2014,6/30/2017
GA,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,2,70,0,9,,10/1/2015,6/30/2017
GA,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,5,65,0,10,,10/1/2015,6/30/2017
GA,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3,83,0,6,,10/1/2015,6/30/2017
GA,Blood stream infection after surgery,PSI_13_POST_SEPSIS,4,66,0,9,,10/1/2015,6/30/2017
GA,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,81,0,11,,10/1/2015,6/30/2017
GA,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0,89,0,6,,10/1/2015,6/30/2017
GA,Pressure sores,PSI_3_ULCER,2,96,1,1,,10/1/2015,6/30/2017
GA,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,0,48,1,32,,10/1/2015,6/30/2017
GA,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,99,0,1,,10/1/2015,6/30/2017
GA,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,99,0,1,,10/1/2015,6/30/2017
GA,Serious complications,PSI_90_SAFETY,7,93,0,Not Available,,10/1/2015,6/30/2017
GA,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,86,0,6,,10/1/2015,6/30/2017
GU,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,4/1/2014,3/31/2017
GU,Death rate for heart attack patients,MORT_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
GU,Death rate for CABG surgery patients,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
GU,Death rate for COPD patients,MORT_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
GU,Death rate for heart failure patients,MORT_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
GU,Death rate for pneumonia patients,MORT_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
GU,Death rate for stroke patients,MORT_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
GU,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
GU,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
GU,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
GU,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
